Company Name,BSE Number,Group
Company,Code,Group
20 Microns Ltd.,533022,T
360 One Wam Ltd.,542772,A
3B BlackBio Dx Ltd.,532067,X
3C IT Solutions & Telecom (India) Ltd.,544190,M
3i Infotech Ltd.,532628,B
3M India Ltd.,523395,A
3P Land Holdings Ltd.,516092,T
52 Weeks Entertainment Ltd.,531925,X
5Paisa Capital Ltd.,540776,B
63 Moons Technologies Ltd.,526881,B
7NR Retail Ltd.,540615,B
7Seas Entertainment Ltd.,540874,X
A & M Febcon Ltd.,540697,XT
A F Enterprises Ltd.,538351,XT
A-1 Ltd.,542012,B
A2Z Infra Engineering Ltd.,533292,B
AA Plus Tradelink Ltd.,543319,M
AAA Technologies Ltd.,543671,B
Aadhaar Ventures India Ltd.,531611,XT
Aadhar Housing Finance Ltd.,544176,B
Aadi Industries Ltd.,530027,X
Aagam Capital Ltd.,531866,XD
Aananda Lakshmi Spinning Mills Ltd.,539096,XT
Aanchal Ispat Ltd.,538812,XT
AAR Commercial Company Ltd.,539632,XT
Aar Shyam India Investment Company Ltd.,542377,XT
Aarcon Facilities Ltd.,532024,P
Aarey Drugs & Pharmaceuticals Ltd.,524412,T
Aarnav Fashions Ltd.,539562,X
Aartech Solonics Ltd.,542580,B
Aarti Drugs Ltd.,524348,A
Aarti Industries Ltd.,524208,A
Aarti Pharmalabs Ltd.,543748,A
Aarti Surfactants Ltd.,543210,T
Aarvee Denims and Exports Ltd.,514274,T
Aashka Hospitals Ltd.,543346,M
Aastamangalam Finance Ltd.,511764,X
Aavas Financiers Ltd.,541988,A
Aayush Art and Bullion Ltd.,540718,MT
Aayush Wellness Ltd.,539528,XT
Aban Offshore Ltd.,523204,B
Abans Holdings Ltd.,543712,B
Abate As Industries Ltd.,531658,XT
ABB India Ltd.,500002,A
Abbott India Ltd.,500488,A
ABC Gas (International) Ltd.,513119,XT
ABC India Ltd.,520123,X
Abhijit Trading Company Ltd.,539560,XT
Abhinav Capital Services Ltd.,532057,X
Abhinav Leasing & Finance Ltd.,538952,X
Abhishek Corporation Ltd.,532831,Z
Abhishek Finlease Ltd.,538935,XT
Abhishek Infraventures Ltd.,539544,XT
Abirami Financial Services (India) Ltd.,511756,Z
ABM Knowledgeware Ltd.,531161,X
ACC Ltd.,500410,A
Accedere Ltd.,531533,XT
ACCEL Ltd.,517494,X
AccelerateBS India Ltd.,543938,M
Accelya Solutions India Ltd.,532268,B
ACE Edutrend Ltd.,530093,Z
ACE Engitech Ltd.,530669,XT
Ace Men Engg Works Ltd.,539661,XT
ACE Software Exports Ltd.,531525,XT
Acewin Agriteck Ltd.,539570,MT
Achal Investments Ltd.,538570,XT
Achyut Healthcare Ltd.,543499,M
ACI Infocom Ltd.,517356,X
Acknit Industries Ltd.,530043,X
Acme Resources Ltd.,539391,Z
Acrow India Ltd.,513149,X
ACS Technologies Ltd.,530745,Z
Action Construction Equipment Ltd.,532762,A
Action Financial Services (India) Ltd.,511706,Z
Active Clothing Co Ltd.,541144,B
Ad-Manum Finance Ltd.,511359,XT
Adani Energy Solutions Ltd.,539254,A
Adani Enterprises Ltd.,512599,A
Adani Green Energy Ltd.,541450,A
Adani Ports & Special Economic Zone Ltd.,532921,A
Adani Power Ltd.,533096,A
Adani Total Gas Ltd.,542066,A
Adani Wilmar Ltd.,543458,A
Adarsh Mercantile Ltd.,538563,XT
Adarsh Plant Protect Ltd.,526711,X
ADC India Communications Ltd.,523411,XT
Adcon Capital Services Ltd.,539506,X
Add-Shop E-Retail Ltd.,541865,B
Addi Industries Ltd.,507852,X
Adeshwar Meditex Ltd.,543309,M
ADF Foods Ltd.,519183,B
Adharshila Capital Services Ltd.,539493,XT
Adhata Global Ltd.,531286,XD
Adhbhut Infrastructure Ltd.,539189,XT
Adhiraj Distributors Ltd.,780018,IP
Adhunik Metaliks Ltd.,532727,Z
Adinath Exim Resources Ltd.,532056,X
Adinath Textiles Ltd.,514113,X
Adishakti Loha and Ispat Ltd.,543377,M
Aditri Industries Ltd.,534707,XT
Company,Code,Group
Aditya Birla Capital Ltd.,540691,A
Aditya Birla Fashion and Retail Ltd.,535755,A
Aditya Birla Money Ltd.,532974,T
Aditya Birla Real Estate Ltd.,500040,A
Aditya Birla Sun Life AMC Ltd.,543374,A
Aditya Consumer Marketing Ltd.,540146,M
Aditya Forge Ltd.,522150,Z
Aditya Ispat Ltd.,513513,X
Aditya Spinners Ltd.,521141,X
Aditya Vision Ltd.,540205,B
Adjia Technologies Ltd.,543269,MS
Adline Chem Lab Ltd.,524604,P
Ador Fontech Ltd.,530431,X
Ador Multiproducts Ltd.,523120,X
Ador Welding Ltd.,517041,B
Adroit Infotech Ltd.,532172,B
ADS Diagnostic Ltd.,523031,Y
Adtech Systems Ltd.,544185,XT
Advait Infratech Ltd.,543230,T
Advance Lifestyles Ltd.,521048,X
Advance Metering Technology Ltd.,534612,X
Advance Multitech Ltd.,526331,P
Advance Petrochemicals Ltd.,506947,XT
Advance Powerinfra Tech Ltd.,531047,Z
Advance Syntex Ltd.,539982,XT
Advanced Enzyme Technologies Ltd.,540025,A
Advanced Micronic Devices Ltd.,517552,Z
Advani Hotels & Resorts (India) Ltd.,523269,B
Advent Computer Services Ltd.,531429,Z
Advik Capital Ltd.,539773,X
Aegis Logistics Ltd.,500003,A
Aelea Commodities Ltd.,544213,M
Aeonian Investments Company Ltd.,503655,XD
AeonX Digital Technology Ltd.,524594,X
Aeroflex Industries Ltd.,543972,B
Aerpace Industries Ltd.,534733,XT
Aether Industries Ltd.,543534,A
Afcom Holdings Ltd.,544224,M
Affle (India) Ltd.,542752,A
Affordable Robotic & Automation Ltd.,541402,B
Agarwal Fortune India Ltd.,530765,X
Agarwal Industrial Corporation Ltd.,531921,B
AGI Greenpac Ltd.,500187,A
AGI Infra Ltd.,539042,B
Agio Paper & Industries Ltd.,516020,XT
Agri-Tech (India) Ltd.,537292,B
Agrimony Commodities Ltd.,537492,MT
Agro Tech Foods Ltd.,500215,B
AGS Transact Technologies Ltd.,543451,B
Ahasolar Technologies Ltd.,543941,M
Ahluwalia Contracts (India) Ltd.,532811,A
Ahmedabad Steelcraft Ltd.,522273,XT
AI Champdany Industries Ltd.,532806,X
AIA Engineering Ltd.,532683,A
AIK Pipes And Polymers Ltd.,544072,M
Aimco Pesticides Ltd.,524288,X
AION-TECH Solutions Ltd.,531439,T
Airan Ltd.,543811,T
Ajanta Pharma Ltd.,532331,A
Ajanta Soya Ltd.,519216,XT
Ajcon Global Services Ltd.,511692,X
Ajel Ltd.,530713,Z
Ajmera Realty & Infra India Ltd.,513349,B
AJR Infra and Tolling Ltd.,532959,Z
Ajwa Fun World & Resorts Ltd.,526628,P
AK Capital Services Ltd.,530499,X
AK Spintex Ltd.,539300,XT
Akar Auto Industries Ltd.,530621,X
Aki India Ltd.,542020,B
Akme Fintrade (India) Ltd.,544200,B
Aksh Optifibre Ltd.,532351,B
Akshar Spintex Ltd.,541303,T
AksharChem (India) Ltd.,524598,B
Akums Drugs & Pharmaceuticals Ltd.,544222,B
Akzo Nobel India Ltd.,500710,A
Alacrity Securities Ltd.,535916,B
Alan Scott Enterprises Ltd.,539115,XT
Alang Industrial Gases Ltd.,531517,XD
Alankit Ltd.,531082,B
Albert David Ltd.,524075,T
Alchemist Corporation Ltd.,531409,XT
Alchemist Ltd.,526707,Z
Alchemist Realty Ltd.,532114,Z
Alembic Ltd.,506235,B
Alembic Pharmaceuticals Ltd.,533573,A
Alexander Stamps and Coin Ltd.,511463,X
Alfa Ica (India) Ltd.,530973,XT
Alfa Transformers Ltd.,517546,X
Alfavision Overseas (India) Ltd.,531156,X
Alfred Herbert (India) Ltd.,505216,X
Algoquant Fintech Ltd.,505725,X
Alicon Castalloy Ltd.,531147,B
Alka Diamond Industries Ltd.,531581,Z
Alka India Ltd.,530889,XT
Alka Securities Ltd.,532166,Z
Alkali Metals Ltd.,533029,B
Alkem Laboratories Ltd.,539523,A
Alkosign Ltd.,543453,M
Alkyl Amines Chemicals Ltd.,506767,A
Allcargo Gati Ltd. 532345 BCompany,Code,Group
Allcargo Logistics Ltd.,532749,A
Allcargo Terminals Ltd.,543954,B
Alldigi Tech Ltd.,532633,B
Alliance Integrated Metaliks Ltd.,534064,XT
Allied Blenders & Distillers Ltd.,544203,B
Allied Computers International (Asia) Ltd.,532919,XT
Allied Digital Services Ltd.,532875,B
Almondz Global Securities Ltd.,531400,T
Alna Trading & Exports Ltd.,506120,P
Alok Industries Ltd.,521070,A
Alpa Laboratories Ltd.,532878,T
Alpha Hi-Tech Fuel Ltd.,531247,XT
Alphageo (India) Ltd.,526397,B
Alphalogic Industries Ltd.,543937,M
Alphalogic Techsys Ltd.,542770,T
Alpine Housing Development Corporation Ltd.,526519,X
Alps Industries Ltd.,530715,T
Alps Motor Finance Ltd.,538423,Z
Alstone Textiles (India) Ltd.,539277,X
Alufluoride Ltd.,524634,X
Amal Ltd.,506597,X
Amalgamated Electricity Company Ltd.,501622,XT
Amanaya Ventures Ltd.,543804,M
Amara Raja Energy & Mobility Ltd.,500008,A
Amarjothi Spinning Mills Ltd.,521097,X
Amarnath Securities Ltd.,538465,XT
Amba Enterprises Ltd.,539196,X
Ambalal Sarabhai Enterprises Ltd.,500009,X
Ambar Protein Industries Ltd.,519471,XT
Ambassador Intra Holdings Ltd.,542524,XT
Amber Enterprises India Ltd.,540902,A
Amber Fabrics Ltd.,536820,Z
Ambica Agarbathies & Aroma Industries Ltd.,532335,B
Ambika Cotton Mills Ltd.,531978,B
Ambition Mica Ltd.,539223,Z
Ambitious Plastomac Company Ltd.,526439,XT
Ambo Agritec Ltd.,543678,MT
